alg,bestFit
https://w3id.org/mexo/resource/algorithm/ArtificialBeeColony,-12569.487
https://w3id.org/mexo/resource/algorithm/GeneticAlgorithm,-11593.4
https://w3id.org/mexo/resource/algorithm/DifferentialEvolution,-10266.0
https://w3id.org/mexo/resource/algorithm/ParticleSwarmOptimization,-6909.1359
